rt,serialno,division,sporder,puma,region,st,adjinc,pwgtp,agep,cit,citwp,cow,ddrs,dear,deye,dout,dphy,drat,dratx,drem,eng,fer,gcl,gcm,gcr,hins1,hins2,hins3,hins4,hins5,hins6,hins7,intp,jwmnp,jwrip,jwtr,lanx,mar,marhd,marhm,marht,marhw,marhyp,mig,mil,mlpa,mlpb,mlpcd,mlpe,mlpfg,mlph,mlpi,mlpj,mlpk,nwab,nwav,nwla,nwlk,nwre,oip,pap,relp,retp,sch,schg,schl,semp,sex,ssip,ssp,wagp,wkhp,wkl,wkw,wrk,yoep,anc,anc1p,anc2p,decade,dis,drivesp,esp,esr,fod1p,fod2p,hicov,hisp,indp,jwap,jwdp,lanp,migpuma,migsp,msp,naicsp,nativity,nop,oc,occp,paoc,pernp,pincp,pobp,povpip,powpuma,powsp,privcov,pubcov,qtrbir,rac1p,rac2p,rac3p,racaian,racasn,racblk,racnh,racnum,racpi,racsor,racwht,rc,sciengp,sciengrlp,sfn,sfr,socp,vps,waob,fagep,fancp,fcitp,fcitwp,fcowp,fddrsp,fdearp,fdeyep,fdisp,fdoutp,fdphyp,fdratp,fdratxp,fdremp,fengp,fesrp,fferp,ffodp,fgclp,fgcmp,fgcrp,fhicovp,fhins1p,fhins2p,fhins3c,fhins3p,fhins4c,fhins4p,fhins5c,fhins5p,fhins6p,fhins7p,fhisp,findp,fintp,fjwdp,fjwmnp,fjwrip,fjwtrp,flanp,flanxp,fmarp,fmarhdp,fmarhmp,fmarhtp,fmarhwp,fmarhyp,fmigp,fmigsp,fmilpp,fmilsp,foccp,foip,fpap,fpernp,fpincp,fpobp,fpowsp,fprivcovp,fpubcovp,fracp,frelp,fretp,fschgp,fschlp,fschp,fsemp,fsexp,fssip,fssp,fwagp,fwkhp,fwklp,fwkwp,fwrkp,fyoep,pwgtp1,pwgtp2,pwgtp3,pwgtp4,pwgtp5,pwgtp6,pwgtp7,pwgtp8,pwgtp9,pwgtp10,pwgtp11,pwgtp12,pwgtp13,pwgtp14,pwgtp15,pwgtp16,pwgtp17,pwgtp18,pwgtp19,pwgtp20,pwgtp21,pwgtp22,pwgtp23,pwgtp24,pwgtp25,pwgtp26,pwgtp27,pwgtp28,pwgtp29,pwgtp30,pwgtp31,pwgtp32,pwgtp33,pwgtp34,pwgtp35,pwgtp36,pwgtp37,pwgtp38,pwgtp39,pwgtp40,pwgtp41,pwgtp42,pwgtp43,pwgtp44,pwgtp45,pwgtp46,pwgtp47,pwgtp48,pwgtp49,pwgtp50,pwgtp51,pwgtp52,pwgtp53,pwgtp54,pwgtp55,pwgtp56,pwgtp57,pwgtp58,pwgtp59,pwgtp60,pwgtp61,pwgtp62,pwgtp63,pwgtp64,pwgtp65,pwgtp66,pwgtp67,pwgtp68,pwgtp69,pwgtp70,pwgtp71,pwgtp72,pwgtp73,pwgtp74,pwgtp75,pwgtp76,pwgtp77,pwgtp78,pwgtp79,pwgtp80
P,2013000003570,9,01,11610,4,53,1061971,20.0,24.0,1.0,,1,2,2,2,2,2,,,2,,2,,,,1,2,2,2,2,2,2,0.0,25.0,1.0,01,2,5,,,,,,3,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,00,0.0,1,,21,0.0,2,0.0,0.0,61000.0,50.0,1,1,1,,2,050,032,,2,1,,1,5601,,1,01,0770,081,037,,11600,053,6,23      ,1,,0,0220,4,61000.0,61000.0,016,501.0,11600,053,1,2,4,1,01,001,0,0,0,0,1,0,0,1,0,2,2,,,119021,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,35.0,17.0,31.0,33.0,17.0,31.0,6.0,19.0,20.0,16.0,6.0,21.0,31.0,25.0,5.0,7.0,24.0,19.0,18.0,5.0,31.0,16.0,35.0,34.0,23.0,39.0,6.0,21.0,17.0,20.0,6.0,22.0,34.0,21.0,6.0,5.0,21.0,17.0,17.0,29.0,6.0,21.0,6.0,5.0,17.0,5.0,28.0,18.0,22.0,18.0,34.0,21.0,6.0,22.0,35.0,38.0,22.0,17.0,20.0,32.0,6.0,21.0,5.0,7.0,21.0,6.0,36.0,21.0,20.0,23.0,33.0,19.0,5.0,18.0,33.0,33.0,24.0,22.0,20.0
P,2013000003570,9,02,11610,4,53,1061971,15.0,24.0,1.0,,1,2,2,2,2,2,,,2,,,,,,1,2,2,2,2,2,2,0.0,30.0,1.0,01,2,5,,,,,,3,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,13,0.0,1,,21,0.0,1,0.0,0.0,48000.0,45.0,1,1,1,,2,032,088,,2,1,,1,5601,,1,01,0770,160,097,,11600,053,6,23      ,1,,0,0220,,48000.0,48000.0,041,402.0,11600,053,1,2,1,1,01,001,0,0,0,0,1,0,0,1,0,2,2,,,119021,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,24.0,15.0,27.0,27.0,15.0,31.0,4.0,14.0,16.0,15.0,4.0,14.0,29.0,20.0,5.0,6.0,17.0,16.0,16.0,4.0,30.0,16.0,25.0,25.0,13.0,23.0,4.0,16.0,15.0,16.0,4.0,16.0,27.0,11.0,5.0,4.0,17.0,17.0,17.0,23.0,6.0,15.0,3.0,4.0,14.0,4.0,27.0,14.0,19.0,15.0,28.0,19.0,5.0,16.0,31.0,28.0,20.0,16.0,17.0,23.0,4.0,14.0,4.0,6.0,16.0,4.0,29.0,16.0,16.0,16.0,26.0,14.0,4.0,17.0,24.0,29.0,14.0,15.0,16.0
P,2013000007063,9,02,11612,4,53,1061971,30.0,19.0,1.0,,,2,2,2,2,2,,,2,,,,,,2,1,2,2,2,2,2,10000.0,,,,2,5,,,,,,1,4,,,,,,,,,,2,5,2,2,3,0.0,0.0,02,0.0,2,15,18,0.0,1,0.0,0.0,0.0,,3,,2,,2,082,022,,2,,,6,,,1,01,,,,,,,6,,1,,0,,,0.0,10000.0,053,501.0,,,1,2,4,9,68,021,0,1,0,0,2,0,0,1,0,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.0,30.0,10.0,50.0,27.0,28.0,8.0,28.0,28.0,46.0,27.0,27.0,11.0,41.0,44.0,31.0,38.0,29.0,9.0,33.0,8.0,15.0,30.0,27.0,14.0,46.0,38.0,65.0,34.0,18.0,59.0,12.0,24.0,27.0,42.0,11.0,30.0,43.0,27.0,36.0,25.0,26.0,47.0,8.0,26.0,28.0,55.0,26.0,35.0,11.0,37.0,29.0,41.0,12.0,10.0,30.0,12.0,38.0,55.0,21.0,53.0,40.0,31.0,35.0,42.0,8.0,20.0,8.0,11.0,31.0,13.0,44.0,23.0,39.0,26.0,40.0,41.0,10.0,32.0,13.0
P,2013000008046,9,02,11613,4,53,1061971,36.0,17.0,1.0,,,2,2,2,2,2,,,2,,2,,,,2,2,2,1,2,2,2,0.0,,,,2,5,,,,,,1,4,,,,,,,,,,2,5,2,2,3,0.0,0.0,02,0.0,2,13,13,0.0,2,0.0,0.0,0.0,,3,,2,,1,902,999,,2,,7,6,,,1,01,,,,,,,6,,1,7,1,,4,0.0,0.0,053,57.0,,,2,1,4,2,02,002,0,0,1,0,1,0,0,0,1,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0,63.0,33.0,36.0,27.0,78.0,14.0,50.0,61.0,12.0,11.0,9.0,25.0,53.0,11.0,43.0,36.0,35.0,37.0,59.0,33.0,37.0,78.0,66.0,10.0,48.0,39.0,36.0,13.0,33.0,33.0,31.0,59.0,35.0,35.0,11.0,47.0,10.0,11.0,37.0,15.0,15.0,36.0,41.0,59.0,11.0,55.0,12.0,34.0,68.0,65.0,50.0,33.0,11.0,55.0,30.0,43.0,30.0,29.0,13.0,35.0,38.0,9.0,11.0,90.0,34.0,38.0,38.0,52.0,31.0,35.0,39.0,9.0,32.0,43.0,55.0,8.0,54.0,53.0,38.0
P,2013000008875,9,05,11604,4,53,1061971,36.0,19.0,1.0,,1,2,2,2,2,2,,,2,,2,,,,1,2,2,2,2,2,2,0.0,,,,2,5,,,,,,1,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,07,0.0,1,,16,0.0,2,0.0,3800.0,0.0,,2,,,,4,999,999,,2,,,6,,,1,01,8290,,,,,,6,623M    ,1,,0,5260,4,0.0,3800.0,053,501.0,,,1,2,4,2,02,002,0,0,1,0,1,0,0,0,0,,,,,434071,,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,,1,,1,,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,34.0,68.0,13.0,46.0,16.0,14.0,52.0,9.0,53.0,39.0,46.0,27.0,72.0,29.0,11.0,32.0,55.0,43.0,22.0,38.0,35.0,12.0,53.0,34.0,73.0,42.0,51.0,71.0,14.0,41.0,27.0,34.0,10.0,34.0,73.0,35.0,9.0,10.0,31.0,30.0,24.0,85.0,14.0,36.0,12.0,14.0,36.0,9.0,69.0,35.0,33.0,28.0,59.0,47.0,11.0,31.0,70.0,66.0,23.0,27.0,30.0,12.0,65.0,41.0,67.0,48.0,62.0,76.0,14.0,33.0,41.0,47.0,8.0,44.0,56.0,25.0,11.0,12.0,34.0,66.0
P,2013000010953,9,03,11610,4,53,1061971,15.0,18.0,5.0,,,2,2,2,2,2,,,2,2,,,,,2,2,2,1,2,2,2,0.0,,,,1,5,,,,,,3,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,02,0.0,2,15,18,0.0,1,0.0,0.0,0.0,,3,,,2009.0,4,999,999,7,2,,,6,,,1,02,,,,1200,11600,053,6,,2,,0,,,0.0,0.0,303,94.0,,,2,1,2,8,67,015,0,0,0,0,1,0,1,0,0,,,,,,,3,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,,1,0,1,,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,4.0,9.0,7.0,12.0,7.0,15.0,8.0,10.0,12.0,8.0,29.0,5.0,7.0,18.0,14.0,4.0,15.0,18.0,4.0,13.0,25.0,13.0,11.0,22.0,9.0,19.0,11.0,25.0,30.0,24.0,27.0,18.0,19.0,30.0,22.0,16.0,34.0,18.0,10.0,7.0,5.0,7.0,10.0,15.0,5.0,16.0,8.0,9.0,14.0,17.0,20.0,5.0,7.0,16.0,14.0,3.0,10.0,15.0,4.0,12.0,23.0,12.0,18.0,21.0,10.0,25.0,8.0,21.0,23.0,25.0,25.0,17.0,21.0,28.0,25.0,14.0,29.0,21.0,9.0,6.0
P,2013000010953,9,04,11610,4,53,1061971,9.0,16.0,5.0,,,2,2,2,2,2,,,2,1,,,,,2,2,2,1,2,2,2,0.0,,,,1,5,,,,,,3,,,,,,,,,,,3,5,3,3,3,0.0,0.0,02,0.0,2,12,13,0.0,1,0.0,0.0,0.0,,3,,,1998.0,4,999,999,6,2,,2,6,,,1,02,,,,1200,11600,053,6,,2,4,1,,,0.0,0.0,303,94.0,,,2,1,4,8,67,015,0,0,0,0,1,0,1,0,1,,,,,,,3,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,,1,0,1,,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,2.0,2.0,3.0,12.0,3.0,10.0,3.0,9.0,10.0,10.0,8.0,3.0,2.0,7.0,7.0,2.0,7.0,11.0,2.0,8.0,14.0,11.0,11.0,15.0,15.0,16.0,9.0,28.0,19.0,14.0,16.0,8.0,10.0,14.0,12.0,8.0,12.0,13.0,9.0,2.0,2.0,3.0,3.0,12.0,4.0,14.0,3.0,15.0,10.0,13.0,13.0,3.0,2.0,8.0,7.0,3.0,9.0,9.0,2.0,7.0,9.0,9.0,11.0,22.0,8.0,12.0,7.0,15.0,18.0,12.0,9.0,11.0,10.0,13.0,13.0,10.0,11.0,16.0,8.0,2.0
P,2013000011255,9,02,11614,4,53,1061971,13.0,17.0,1.0,,,2,2,2,2,2,,,2,,2,,,,2,2,2,1,2,2,2,0.0,,,,2,5,,,,,,1,4,,,,,,,,,,2,5,2,2,2,0.0,0.0,02,0.0,2,11,12,0.0,2,0.0,0.0,0.0,,3,,2,,1,924,999,,2,,7,6,,,1,01,,,,,,,6,,1,7,1,,4,0.0,0.0,053,103.0,,,2,1,1,1,01,001,0,0,0,0,1,0,0,1,1,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,19.0,13.0,22.0,25.0,11.0,10.0,13.0,22.0,3.0,25.0,15.0,4.0,4.0,3.0,13.0,22.0,4.0,13.0,16.0,12.0,13.0,12.0,19.0,21.0,14.0,15.0,14.0,20.0,5.0,27.0,13.0,5.0,4.0,5.0,11.0,18.0,4.0,13.0,12.0,17.0,14.0,13.0,25.0,23.0,13.0,15.0,13.0,24.0,4.0,19.0,12.0,4.0,5.0,4.0,14.0,26.0,4.0,14.0,14.0,14.0,11.0,15.0,20.0,20.0,15.0,14.0,12.0,20.0,3.0,24.0,13.0,4.0,3.0,4.0,13.0,24.0,4.0,15.0,13.0
P,2013000012970,9,03,11612,4,53,1061971,29.0,21.0,3.0,,1,2,2,2,2,2,,,2,,2,,,,1,1,2,2,2,2,2,0.0,,,,2,5,,,,,,1,4,,,,,,,,,,2,5,2,2,3,0.0,0.0,02,0.0,3,15,18,0.0,2,0.0,0.0,600.0,5.0,1,5,2,1991.0,4,999,999,6,2,,,6,,,1,01,8370,,,,,,6,6241    ,1,,0,4610,4,600.0,600.0,110,447.0,,,1,2,4,9,68,022,0,1,0,0,2,0,0,1,0,,,,,399021,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,56.0,47.0,54.0,55.0,12.0,30.0,31.0,47.0,8.0,31.0,27.0,10.0,31.0,27.0,9.0,25.0,24.0,25.0,8.0,10.0,28.0,27.0,21.0,33.0,29.0,6.0,52.0,31.0,27.0,55.0,52.0,30.0,8.0,9.0,32.0,34.0,9.0,54.0,29.0,31.0,49.0,47.0,51.0,55.0,7.0,29.0,31.0,56.0,10.0,27.0,23.0,9.0,30.0,27.0,10.0,37.0,25.0,27.0,8.0,9.0,30.0,23.0,26.0,31.0,25.0,10.0,45.0,26.0,26.0,46.0,51.0,29.0,11.0,7.0,31.0,58.0,9.0,51.0,28.0,34.0
P,2013000013052,9,01,11604,4,53,1061971,41.0,24.0,3.0,,1,2,2,2,2,2,,,2,1,,,,,2,1,2,2,2,2,2,10.0,30.0,,04,1,5,,,,,,1,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,00,0.0,3,15,19,0.0,1,0.0,0.0,20000.0,30.0,1,1,1,1996.0,2,782,050,6,2,,,1,,,1,01,5590,052,013,2000,,,6,454111  ,1,,0,0800,,20000.0,20010.0,240,167.0,11600,053,1,2,4,1,01,001,0,0,0,0,1,0,0,1,0,,,,,132011,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,41.0,43.0,12.0,12.0,12.0,12.0,39.0,11.0,30.0,11.0,44.0,48.0,30.0,40.0,13.0,12.0,39.0,42.0,54.0,46.0,87.0,71.0,44.0,48.0,44.0,43.0,64.0,38.0,60.0,33.0,73.0,78.0,72.0,65.0,40.0,38.0,73.0,70.0,67.0,58.0,39.0,46.0,68.0,67.0,65.0,62.0,49.0,74.0,46.0,66.0,42.0,40.0,48.0,45.0,69.0,71.0,38.0,37.0,39.0,34.0,12.0,11.0,39.0,46.0,41.0,45.0,12.0,47.0,18.0,50.0,11.0,11.0,14.0,11.0,35.0,47.0,16.0,11.0,14.0
